video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=nYmg9_uBrXw&pp=ygUTR0lTIGFuZCBNTCBwcm9qZWN0cw%3D%3D,/@SuperMapGIS,SuperMap GIS,Day 1: Applications and Techniques of Artificial Intelligence GIS,"3,8 tis. pregleda",prije 3 godine,The last part is about the applications of ai gis i will use two uh actual projects to let you let you guys know uh how to use a ...,2024-01-29 04:27:12.152179
/watch?v=tuEfvWCrNZU&pp=ygUTR0lTIGFuZCBNTCBwcm9qZWN0cw%3D%3D,/@Indiaremotesensing,Remote Sensing,Live GIS Projects with machine learning and R - Hands on 2022,18 tis. pregleda,prije 3 godine,Chirtamass and new year 2023 offer applied: GIS courses updated with machine learning and R. The ArcSWAT course is updated ...,2024-01-29 04:27:12.155264
/watch?v=J1UJ08HbsSs&pp=ygUTR0lTIGFuZCBNTCBwcm9qZWN0cw%3D%3D,/@MattForrest,Matt Forrest,FASTEST Way to Learn Modern GIS and ACTUALLY Get a Job,62 tis. pregleda,prije 1 godinu,If you want to learn modern GIS fast and get a job in geospatial then this video is for you! I will share my best tips for learning ...,2024-01-29 04:27:12.158904
/watch?v=jCgNWOK-ydk&pp=ygUTR0lTIGFuZCBNTCBwcm9qZWN0cw%3D%3D,/@esri_arcgis,ArcGIS,Deep Learning in ArcGIS Pro 2.9,14 tis. pregleda,prije 2 godine,"Learn about the new updates coming to deep learning in the new ArcGIS Pro 2.9 Release. To learn more, please visit: ...",2024-01-29 04:27:12.161749
/watch?v=QDf-zc81NSE&pp=ygUTR0lTIGFuZCBNTCBwcm9qZWN0cw%3D%3D,/@geodeltalabs,GeoDelta Labs,ChatGPT GIS Analysis Tutorial - Part 1,52 tis. pregleda,prije 11 mjeseci,"In this tutorial, you will learn how to use ChatGPT, which is large language model developed by OpenAI, to perform GIS/geospatial ...",2024-01-29 04:27:12.165509
/watch?v=uV6eKJ3uT1s&pp=ygUTR0lTIGFuZCBNTCBwcm9qZWN0cw%3D%3D,/@ARQIsolutions,ARQIsolution studios,Deep Learning tools in Building Detection from Drone & Satellite imagery,16 tis. pregleda,prije 1 godinu,Satellite imagery and orthomosaics developed from drone imagery can contain a wealth of information. With improvements in ...,2024-01-29 04:27:12.167817
/watch?v=lSvpp70LPAA&pp=ygUTR0lTIGFuZCBNTCBwcm9qZWN0cw%3D%3D,/@itdesigners9517,IT DESIGNERS,Machine Learning projects for final year || Machine Learning Final Year Project Ideas,14 tis. pregleda,prije 4 mjeseca,"Machine Learning projects for final year || Machine Learning Final Year Project Ideas machine learning project ideas, machine ...",2024-01-29 04:27:12.170808
/watch?v=KoLAlcBv290&pp=ygUTR0lTIGFuZCBNTCBwcm9qZWN0cw%3D%3D,/@spatialelearning,Spatial eLearning,Full Course - Python for Geospatial Data Analysis for Beginners,31 tis. pregleda,prije 1 godinu,This tutorial will show the use of Python for geospatial data analysis at the beginner level. Subscribe for more tutorials: ...,2024-01-29 04:27:12.173232
/watch?v=eXYg1WC93do&pp=ygUTR0lTIGFuZCBNTCBwcm9qZWN0cw%3D%3D,/@MattForrest,Matt Forrest,GIS and Python: Top Courses to Learn Geospatial Python,16 tis. pregleda,prije 1 godinu,Want to learn Python for GIS and geospatial analysis? Here are the best courses from around the internet that will help you ...,2024-01-29 04:27:21.269072
/watch?v=20ZMPALFAE0&pp=ygUTR0lTIGFuZCBNTCBwcm9qZWN0cw%3D%3D,/@made4geek,Made 4 Geek,How to use Deep learning model in ArcGIS Pro to extract Trees and Building,12 tis. pregleda,prije 8 mjeseci,"How do I use deep learning in ArcGIS Pro, What type of deep learning model does ArcGIS Pro use, Can deep learning perform ...",2024-01-29 04:27:21.271882
/watch?v=7ayMKKnMx9U&pp=ygUTR0lTIGFuZCBNTCBwcm9qZWN0cw%3D%3D,/@EsriEvents,Esri Events,Machine Learning in ArcGIS,20 tis. pregleda,prije 4 godine,"Machine Learning (ML) is a set of data-driven algorithms and techniques that automate the prediction, classification, and ...",2024-01-29 04:27:21.276115
/watch?v=IRJC67zm6nk&pp=ygUTR0lTIGFuZCBNTCBwcm9qZWN0cw%3D%3D,/@thegishub,The GIS Hub,GeoSpatial Analysis With Python For Beginners || Use Python For GIS Analysis || The GIS Hub,14 tis. pregleda,prije 1 godinu,"This ""Geospatial Analysis With Python"" is a beginner's course for those who want to learn the use of python for gis and geospatial ...",2024-01-29 04:27:21.278933
/watch?v=2QntC2e4HpQ&pp=ygUTR0lTIGFuZCBNTCBwcm9qZWN0cw%3D%3D,/@geospatialmedia,Geospatial World,How AI is Transforming Remote Sensing Applications,"6,6 tis. pregleda",prije 10 mjeseci,Artificial Intelligence today is transforming remote sensing by improving data processing accuracy and speed. Let's look at how AI ...,2024-01-29 04:27:21.281568
/watch?v=wQvMQzgcNNA&pp=ygUTR0lTIGFuZCBNTCBwcm9qZWN0cw%3D%3D,/@EsriIndustries,Esri Industries,What Every GIS Professional Needs to Know about Artificial Intelligence and Machine Learning,"7,7 tis. pregleda",prije 2 godine,"The most forward-thinking organizations are making strategic investments in artificial intelligence (AI) and machine learning (ML), ...",2024-01-29 04:27:21.285401
/watch?v=CQlLa_UWncg&pp=ygUTR0lTIGFuZCBNTCBwcm9qZWN0cw%3D%3D,/@Preligens,Preligens,When deep learning meets satellite imagery,103 tis. pregleda,prije 4 godine,When deep learning meets satellite imagery -- A handy guide to understanding the specificities and challenges of satellite images ...,2024-01-29 04:27:21.288085
